project,time
ostatni,0.0015960382090674506
ostatni,0.001254153847694397
signature,0.0010774355464511448
42424,0.0005052634742524889
22-PAE-021,0.0006004658672544691
signature,0.020099279814296298
signature,0.0014557874202728272
ABCDE,0.003368212514453464
,0.0008751748667822944
signature,0.0006384480661816068
ostatni,0.0012947567966249253
signature,0.003657149010234409
22-PAE-021,0.001244236495759752
signature,0.0006143139468299018
ostatni,0.00043459455172220867
signature,0.0001977204614215427
ostatni,0.0007115393214755588
,0.0005164059003194173
XX,0.004444555573993259
,1.3614032003614638e-05
signature,0.0007784152693218656
signature,0.0008964884943432278
ostatni,0.0009344061877992418
signature,0.0007925997177759806
signature,0.0009233974748187595
signature,0.0004349302583270603
ostatni,0.0008453067806031969
,0.0006659126281738281
signature,0.0002974031368891398
ostatni,0.0006029166115654839
ostatni,0.0005685922172334459
signature,0.0005457114511066013
ostatni,0.0009729977448781331
123,0.0010439526372485691
